,Rank,Country,Gold,Silver,Bronze,Total,country,population,gdp_per_capita_usd,temperature
0,1,Norway,18,12,11,41,Norway,5640194,87497.2179649556,4.1832
1,2,United States of America,12,12,9,33,United States,345410175,81032.262117545,12.224
2,3,Netherlands,10,7,3,20,Netherlands,18290019,63515.6030780019,11.175999999999998
3,4,Italy,10,6,14,30,Italy,58941446,39277.0838783918,13.134
4,5,Germany,8,10,8,26,Germany,83570702,54776.7668235491,10.4072
5,6,France,8,9,6,23,France,67914198,44700.1384177544,13.709999999999999
6,7,Sweden,8,6,4,18,Sweden,10652755,54950.2834725622,6.3934
7,8,Switzerland,6,9,8,23,Switzerland,9055930,100623.549627296,7.377000000000001
8,9,Austria,5,8,5,18,Austria,9163189,56579.504175468,8.031
9,10,Japan,5,7,12,24,Japan,122638865,33836.1756271617,13.706
10,11,Canada,5,7,9,21,Canada,40969904,54220.3285039875,0.5432
11,12,People's Republic of China,5,4,6,15,China,1408902044,12951.1782397043,13.235999999999999
12,13,Republic of Korea,3,4,3,10,South Korea,51355773,35674.095995632,13.351999999999999
13,14,Australia,3,2,1,6,Australia,27475920,65058.3773146674,19.387999999999998
14,15,Great Britain,3,1,1,5,United Kingdom,69709264,49944.4702124201,10.2528
15,16,Czechia,2,2,1,5,Czechia,10712479,31761.5944102491,9.5184
16,17,Slovenia,2,1,1,4,Slovenia,2124212,32660.4753581346,11.048
17,18,Spain,1,0,2,3,Spain,48710759,33493.2225409111,14.830000000000002
18,19,Brazil,1,0,0,1,Brazil,213491851,10377.5897719195,24.606
19,19,Kazakhstan,1,0,0,1,Kazakhstan,20800815,12879.4275257974,7.1556
20,21,Poland,0,3,1,4,Poland,37587594,22145.2660647429,9.7012
21,22,New Zealand,0,2,1,3,New Zealand,5314739,49075.9562832927,12.08
22,23,Finland,0,1,5,6,Finland,5639673,52834.2916752703,5.6714
23,24,Latvia,0,1,1,2,Latvia,1829717,22710.2637544197,7.7102
24,25,Denmark,0,1,0,1,Denmark,6025989,68043.5466971243,9.682599999999999
25,25,Estonia,0,1,0,1,Estonia,1347008,30264.0064885057,7.1536
26,25,Georgia,0,1,0,1,Georgia,3754571,8283.66960652261,9.4212
27,28,Bulgaria,0,0,2,2,Bulgaria,6552509,15853.208636704,12.198
28,29,Belgium,0,0,1,1,Belgium,11851553,55291.4754541329,11.126
